case_id,activity,start_timestamp,stop_timestamp,actor
CLM-1005,Receive Additional Info,2024-01-16 12:39:00,2024-01-18 04:32:00,System
CLM-1005,Review Claim,2024-01-18 04:40:00,2024-01-18 09:54:00,Carol
CLM-1005,Approve Claim,2024-01-18 10:07:00,2024-01-18 11:06:00,Dave
CLM-1005,Process Payment,2024-01-18 11:31:00,2024-01-18 14:17:00,System
CLM-1005,Close Claim,2024-01-18 14:33:00,2024-01-18 14:43:00,System
CLM-1006,Submit Claim,2024-01-12 20:00:00,2024-01-12 20:18:00,System
CLM-1006,Validate Documents,2024-01-12 20:45:00,2024-01-13 00:39:00,System
CLM-1006,Assign Adjuster,2024-01-13 01:04:00,2024-01-13 01:21:00,System
CLM-1006,Review Claim,2024-01-13 01:45:00,2024-01-13 09:10:00,Bob
CLM-1006,Request Additional Info,2024-01-13 09:20:00,2024-01-13 10:07:00,Bob
CLM-1006,Receive Additional Info,2024-01-13 10:35:00,2024-01-15 03:17:00,System
CLM-1006,Review Claim,2024-01-15 03:27:00,2024-01-15 09:23:00,Bob
CLM-1006,Approve Claim,2024-01-15 09:40:00,2024-01-15 10:27:00,Dave
CLM-1006,Process Payment,2024-01-15 10:52:00,2024-01-15 13:20:00,System
CLM-1006,Close Claim,2024-01-15 13:42:00,2024-01-15 13:54:00,System
CLM-1007,Submit Claim,2024-01-09 13:00:00,2024-01-09 13:17:00,System
CLM-1007,Validate Documents,2024-01-09 13:23:00,2024-01-09 15:43:00,System
CLM-1007,Assign Adjuster,2024-01-09 16:00:00,2024-01-09 16:23:00,System
CLM-1007,Review Claim,2024-01-09 16:30:00,2024-01-09 20:18:00,Bob
CLM-1007,Request Additional Info,2024-01-09 20:41:00,2024-01-09 21:39:00,Bob
CLM-1007,Receive Additional Info,2024-01-09 22:06:00,2024-01-11 19:34:00,System
CLM-1007,Review Claim,2024-01-11 19:45:00,2024-01-12 03:20:00,Bob
CLM-1007,Request Additional Info,2024-01-12 03:40:00,2024-01-12 04:22:00,Bob
CLM-1007,Receive Additional Info,2024-01-12 04:47:00,2024-01-14 12:06:00,System
CLM-1007,Review Claim,2024-01-14 12:15:00,2024-01-14 16:30:00,Bob
CLM-1007,Approve Claim,2024-01-14 16:39:00,2024-01-14 17:24:00,Dave
CLM-1007,Process Payment,2024-01-14 17:52:00,2024-01-14 20:03:00,System
CLM-1007,Close Claim,2024-01-14 20:25:00,2024-01-14 20:38:00,System
CLM-1008,Submit Claim,2024-01-17 12:00:00,2024-01-17 12:28:00,System
CLM-1008,Validate Documents,2024-01-17 12:45:00,2024-01-17 15:17:00,System
CLM-1008,Assign Adjuster,2024-01-17 15:29:00,2024-01-17 15:48:00,System
CLM-1008,Review Claim,2024-01-17 16:09:00,2024-01-17 22:21:00,Carol
CLM-1008,Reject Claim,2024-01-17 22:28:00,2024-01-17 22:51:00,Dave
CLM-1008,Close Claim,2024-01-17 22:59:00,2024-01-17 23:08:00,System
CLM-1009,Submit Claim,2024-01-22 21:00:00,2024-01-22 21:23:00,System
CLM-1009,Validate Documents,2024-01-22 21:47:00,2024-01-22 23:03:00,System
CLM-1009,Assign Adjuster,2024-01-22 23:20:00,2024-01-22 23:47:00,System
CLM-1009,Review Claim,2024-01-23 00:11:00,2024-01-23 06:10:00,Alice
CLM-1009,Request Additional Info,2024-01-23 06:31:00,2024-01-23 07:09:00,Alice
CLM-1009,Receive Additional Info,2024-01-23 07:31:00,2024-01-24 08:18:00,System
CLM-1009,Review Claim,2024-01-24 08:44:00,2024-01-24 11:42:00,Alice
CLM-1009,Reject Claim,2024-01-24 12:08:00,2024-01-24 13:02:00,Dave
CLM-1009,Close Claim,2024-01-24 13:31:00,2024-01-24 13:44:00,System
CLM-1010,Submit Claim,2024-01-15 15:00:00,2024-01-15 15:37:00,System
CLM-1010,Validate Documents,2024-01-15 15:51:00,2024-01-16 02:16:00,System
CLM-1010,Assign Adjuster,2024-01-16 02:26:00,2024-01-16 04:09:00,System
CLM-1010,Review Claim,2024-01-16 04:14:00,2024-01-16 19:13:00,Carol
CLM-1010,Approve Claim,2024-01-16 19:34:00,2024-01-16 21:49:00,Dave
CLM-1010,Process Payment,2024-01-16 22:10:00,2024-01-17 02:04:00,System
CLM-1010,Close Claim,2024-01-17 02:29:00,2024-01-17 03:03:00,System
CLM-1011,Submit Claim,2024-01-21 08:00:00,2024-01-21 08:16:00,System
CLM-1011,Validate Documents,2024-01-21 08:25:00,2024-01-21 11:00:00,System
CLM-1011,Assign Adjuster,2024-01-21 11:29:00,2024-01-21 11:49:00,System
CLM-1011,Review Claim,2024-01-21 12:11:00,2024-01-21 18:42:00,Carol
CLM-1011,Approve Claim,2024-01-21 18:47:00,2024-01-21 19:55:00,Dave
CLM-1011,Process Payment,2024-01-21 20:10:00,2024-01-21 22:12:00,System
CLM-1011,Close Claim,2024-01-21 22:17:00,2024-01-21 22:25:00,System
CLM-1012,Submit Claim,2024-01-13 11:00:00,2024-01-13 11:11:00,System
CLM-1012,Validate Documents,2024-01-13 11:23:00,2024-01-13 14:48:00,System
CLM-1012,Assign Adjuster,2024-01-13 14:55:00,2024-01-13 15:12:00,System
CLM-1012,Review Claim,2024-01-13 15:40:00,2024-01-13 21:48:00,Bob
CLM-1012,Request Additional Info,2024-01-13 21:55:00,2024-01-13 22:49:00,Bob
CLM-1012,Receive Additional Info,2024-01-13 23:11:00,2024-01-15 07:46:00,System
CLM-1012,Review Claim,2024-01-15 07:55:00,2024-01-15 15:32:00,Bob
CLM-1012,Approve Claim,2024-01-15 15:52:00,2024-01-15 17:22:00,Dave
CLM-1012,Process Payment,2024-01-15 17:44:00,2024-01-15 19:05:00,System
CLM-1012,Close Claim,2024-01-15 19:18:00,2024-01-15 19:36:00,System
